episode,reward
0,22.0
1,14.0
2,73.0
3,67.0
4,21.0
5,41.0
6,22.0
7,12.0
8,21.0
9,50.0
10,44.0
11,19.0
12,57.0
13,10.0
14,10.0
15,11.0
16,16.0
17,11.0
18,18.0
19,16.0
20,25.0
21,15.0
22,30.0
23,25.0
24,11.0
25,83.0
26,66.0
27,30.0
28,26.0
29,11.0
30,31.0
31,15.0
32,13.0
33,21.0
34,18.0
35,10.0
36,39.0
37,80.0
38,11.0
39,13.0
40,20.0
41,24.0
42,32.0
43,17.0
44,23.0
45,13.0
46,17.0
47,12.0
48,27.0
49,33.0
50,16.0
51,32.0
52,16.0
53,10.0
54,20.0
55,17.0
56,39.0
57,19.0
58,24.0
59,28.0
60,17.0
61,54.0
62,16.0
63,17.0
64,24.0
65,48.0
66,37.0
67,43.0
68,15.0
69,31.0
70,28.0
71,22.0
72,22.0
73,13.0
74,44.0
75,49.0
76,29.0
77,21.0
78,16.0
79,17.0
80,17.0
81,12.0
82,14.0
83,51.0
84,17.0
85,21.0
86,19.0
87,18.0
88,25.0
89,32.0
90,43.0
91,37.0
92,13.0
93,17.0
94,44.0
95,21.0
96,19.0
97,27.0
98,17.0
99,29.0
100,34.0
101,19.0
102,15.0
103,16.0
104,42.0
105,15.0
106,13.0
107,25.0
108,32.0
109,32.0
110,28.0
111,10.0
112,35.0
113,11.0
114,13.0
115,45.0
116,9.0
117,12.0
118,12.0
119,25.0
120,21.0
121,26.0
122,47.0
123,16.0
124,18.0
125,14.0
126,24.0
127,12.0
128,13.0
129,23.0
130,19.0
131,14.0
132,10.0
133,18.0
134,17.0
135,9.0
136,28.0
137,10.0
138,12.0
139,16.0
140,20.0
141,13.0
142,14.0
143,18.0
144,40.0
145,12.0
146,26.0
147,16.0
148,10.0
149,20.0
150,22.0
151,29.0
152,27.0
153,23.0
154,10.0
155,18.0
156,10.0
157,16.0
158,11.0
159,18.0
160,45.0
161,21.0
162,23.0
163,12.0
164,15.0
165,37.0
166,48.0
167,8.0
168,19.0
169,15.0
170,27.0
171,48.0
172,21.0
173,68.0
174,24.0
175,25.0
176,18.0
177,15.0
178,28.0
179,14.0
180,18.0
181,36.0
182,29.0
183,14.0
184,13.0
185,13.0
186,78.0
187,39.0
188,58.0
189,13.0
190,19.0
191,23.0
192,18.0
193,11.0
194,57.0
195,27.0
196,14.0
197,16.0
198,24.0
199,50.0
200,23.0
201,22.0
202,32.0
203,11.0
204,14.0
205,25.0
206,30.0
207,12.0
208,20.0
209,35.0
210,40.0
211,10.0
212,44.0
213,22.0
214,18.0
215,35.0
216,16.0
217,97.0
218,55.0
219,11.0
220,31.0
221,25.0
222,14.0
223,89.0
224,44.0
225,24.0
226,45.0
227,56.0
228,33.0
229,34.0
230,17.0
231,13.0
232,11.0
233,21.0
234,16.0
235,85.0
236,47.0
237,19.0
238,26.0
239,42.0
240,50.0
241,17.0
242,27.0
243,15.0
244,20.0
245,21.0
246,28.0
247,46.0
248,20.0
249,40.0
250,32.0
251,10.0
252,10.0
253,26.0
254,15.0
255,28.0
256,72.0
257,29.0
258,11.0
259,13.0
260,24.0
261,34.0
262,21.0
263,21.0
264,11.0
265,20.0
266,41.0
267,26.0
268,34.0
269,27.0
270,75.0
271,42.0
272,16.0
273,33.0
274,37.0
275,50.0
276,37.0
277,17.0
278,16.0
279,12.0
280,37.0
281,11.0
282,44.0
283,68.0
284,13.0
285,24.0
286,15.0
287,26.0
288,72.0
289,29.0
290,19.0
291,31.0
292,33.0
293,34.0
294,79.0
295,23.0
296,38.0
297,92.0
298,18.0
299,62.0
300,12.0
301,23.0
302,12.0
303,16.0
304,29.0
305,56.0
306,18.0
307,15.0
308,17.0
309,12.0
310,12.0
311,11.0
312,14.0
313,13.0
314,35.0
315,44.0
316,15.0
317,23.0
318,15.0
319,30.0
320,25.0
321,75.0
322,33.0
323,18.0
324,31.0
325,50.0
326,11.0
327,57.0
328,19.0
329,19.0
330,12.0
331,39.0
332,18.0
333,22.0
334,29.0
335,15.0
336,55.0
337,31.0
338,63.0
339,17.0
340,15.0
341,12.0
342,16.0
343,17.0
344,58.0
345,48.0
346,15.0
347,23.0
348,58.0
349,11.0
350,42.0
351,37.0
352,15.0
353,12.0
354,11.0
355,28.0
356,48.0
357,50.0
358,23.0
359,15.0
360,33.0
361,15.0
362,126.0
363,32.0
364,13.0
365,20.0
366,31.0
367,12.0
368,16.0
369,58.0
370,46.0
371,15.0
372,25.0
373,52.0
374,42.0
375,28.0
376,113.0
377,19.0
378,43.0
379,58.0
380,32.0
